Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
AnyDesk		Public	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Public	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Private	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Public	Yes	Allow	No	D:\downloads\anydesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Private	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Public	Yes	Allow	No	D:\downloads\anydesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Domain	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Domain	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
brave.exe		Public	Yes	Block	No	C:\users\shara\appdata\local\bravesoftware\brave-browser\application\brave.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
brave.exe		Public	Yes	Block	No	C:\users\shara\appdata\local\bravesoftware\brave-browser\application\brave.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ChatGPT		Public	Yes	Allow	No	C:\program files\windowsapps\openai.chatgpt-desktop_1.2025.41.0_x64__2p2nqsd0c76g0\app\chatgpt.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ChatGPT		Public	Yes	Allow	No	C:\program files\windowsapps\openai.chatgpt-desktop_1.2025.41.0_x64__2p2nqsd0c76g0\app\chatgpt.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logioptionsplus_agent.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logivoice\logioptionsplus_logivoice	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Plugin Service		All	Yes	Allow	No	C:\Program Files\Logi\LogiPluginService\LogiPluginService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Port 3306		All	Yes	Allow	No	Any	Any	Any	TCP	3306	Any	Any	Any	Any	Any	None	Any	
Port 33060		All	Yes	Allow	No	Any	Any	Any	TCP	33060	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\shara\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\shara\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Allow	No	C:\program files (x86)\videolan\vlc\vlc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Allow	No	C:\program files (x86)\videolan\vlc\vlc.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	HoloShell_cw5n1h2txyewy	
@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	HoloShell_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
