Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
@{EnvironmentsApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://EnvironmentsApp/resources/DisplayName}	@{EnvironmentsApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://EnvironmentsApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	EnvironmentsApp_cw5n1h2txyewy	
@{EnvironmentsApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://EnvironmentsApp/resources/DisplayName}	@{EnvironmentsApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://EnvironmentsApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	EnvironmentsApp_cw5n1h2txyewy	
@{HoloItemPlayerApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloItemPlayerApp/resources/DisplayName}	@{HoloItemPlayerApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloItemPlayerApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	HoloItemPlayerApp_cw5n1h2txyewy	
@{HoloItemPlayerApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloItemPlayerApp/resources/DisplayName}	@{HoloItemPlayerApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloItemPlayerApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	HoloItemPlayerApp_cw5n1h2txyewy	
@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	HoloShell_cw5n1h2txyewy	
@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	HoloShell_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}	@{Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.AccountsControl_cw5n1h2txyewy	
@{Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}	@{Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.AccountsControl_cw5n1h2txyewy	
@{Microsoft.DesktopAppInstaller_1.17.10691.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.DesktopAppInstaller/Resources/appDisplayName}	@{Microsoft.DesktopAppInstaller_1.17.10691.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.DesktopAppInstaller/Resources/appDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
@{Microsoft.GetHelp_10.2201.421.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.GetHelp/Resources/appDisplayName}	@{Microsoft.GetHelp_10.2201.421.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.GetHelp/Resources/appDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.GetHelp_8wekyb3d8bbwe	
@{Microsoft.Getstarted_10.2204.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Getstarted/Resources/AppStoreName}	@{Microsoft.Getstarted_10.2204.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Getstarted/Resources/AppStoreName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	S-1-15-2-1930852602-715273891-2259524165-1460409268-4224052142-2029744616-1797406285	
@{Microsoft.LockApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}	@{Microsoft.LockApp_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.LockApp_cw5n1h2txyewy	
@{Microsoft.LockApp_10.0.22621.3235_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}	@{Microsoft.LockApp_10.0.22621.3235_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.LockApp_cw5n1h2txyewy	
@{Microsoft.Microsoft3DViewer_7.2401.29012.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Microsoft3DViewer/Common.View.UWP/Resources/StoreAppName}	@{Microsoft.Microsoft3DViewer_7.2401.29012.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Microsoft3DViewer/Common.View.UWP/Resources/StoreAppName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	S-1-15-2-3739514657-3828455176-2936196785-2025316370-1894713875-3268641221-1640234959	
@{Microsoft.People_10.1909.12456.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.People/Resources/AppStoreName}	@{Microsoft.People_10.1909.12456.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.People/Resources/AppStoreName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	S-1-15-2-3981118486-977731610-4260702232-2292029000-2544493239-2660358776-1526570402	
@{Microsoft.PPIProjection_10.0.26100.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.PPIProjection/resources/ProductNameWindowsStore}	@{Microsoft.PPIProjection_10.0.26100.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.PPIProjection/resources/ProductNameWindowsStore}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.PPIProjection_cw5n1h2txyewy	
@{Microsoft.SecHealthUI_1000.22621.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.SecHealthUI/resources/PackageDisplayName}	@{Microsoft.SecHealthUI_1000.22621.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.SecHealthUI/resources/PackageDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.SecHealthUI_8wekyb3d8bbwe	
@{Microsoft.SecHealthUI_1000.22621.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.SecHealthUI/resources/PackageDisplayName}	@{Microsoft.SecHealthUI_1000.22621.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.SecHealthUI/resources/PackageDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.SecHealthUI_8wekyb3d8bbwe	
@{Microsoft.StorePurchaseApp_12008.1001.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle}	@{Microsoft.StorePurchaseApp_12008.1001.1.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.StorePurchaseApp_8wekyb3d8bbwe	
@{Microsoft.Todos_0.54.42772.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Todos/Resources/app_name_ms_todo}	@{Microsoft.Todos_0.54.42772.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Todos/Resources/app_name_ms_todo}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	S-1-15-2-2537927067-2140208811-1083047336-3825492100-1188134376-3459723148-3131426163	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
@{Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName}	@{Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy	
@{Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName}	@{Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.ContentDeliveryManager_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName}	@{Microsoft.Windows.ContentDeliveryManager_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy	
@{Microsoft.Windows.ContentDeliveryManager_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName}	@{Microsoft.Windows.ContentDeliveryManager_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy	
@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.ParentalControls_cw5n1h2txyewy	
@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.ParentalControls_cw5n1h2txyewy	
@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Windows.Photos/Resources/AppStoreName}	@{Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Windows.Photos/Resources/AppStoreName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.Photos_8wekyb3d8bbwe	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Sharanya Dasgupta	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCalculator/Resources/AppStoreName}	@{Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCalculator/Resources/AppStoreName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.WindowsCalculator_8wekyb3d8bbwe	
@{Microsoft.WindowsCamera_2022.2201.4.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCamera/LensSDK/Resources/AppStoreName}	@{Microsoft.WindowsCamera_2022.2201.4.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCamera/LensSDK/Resources/AppStoreName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-LAPTOP\Administrator	None	Microsoft.WindowsCamera_8wekyb3d8bbwe	
